_id,ltable_id,rtable_id,ltable_Name,ltable_Sale Price,ltable_Category,ltable_Author,ltable_ISBN10,ltable_Pages,ltable_Publisher,ltable_Language,ltable_Dimensions,ltable_Weight,ltable_Rating,rtable_Name,rtable_Sale Price,rtable_Category,rtable_Author,rtable_ISBN10,rtable_Pages,rtable_Publisher,rtable_Language,rtable_Dimensions,rtable_Weight,rtable_Rating,gold_labels
1064,1840,94,Hope to Die Alex Cross,8.74,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,1455515833,416.0,Vision ,English,4.2 x 1.2 x 7.5 inches,6.4 ounces,4.6,HOPE TO DIE,10.62,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > General > Best seller ranking: > # > 1660 >  > in > Books > # > 113 >  > in > Books > Literature & Fiction > # > 22 >  > in > Books > Literature & Fiction > General",James Patterson,5515838,416.0,VisionGrand Central Publishing,English,7.50 x 4.25 x 1.25 Inches (US),,4.0,1
111,94,199,The Long Way Home,13.73,"Books > Mystery, Thriller & Suspense > Mystery",Louise Penny,1250022053,400.0,Minotaur Books; Reprint edition ,English,5.5 x 1.1 x 8.2 inches,12 ounces,4.2,The Long Way Home,13.73,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional",Louise Penny,22050,400.0,St. Martin's PressMinotaur Books,English,208.03 x 5.47 x 27.18 Millimeters,,,1
1268,2448,1016,"Guilty Pleasures Anita Blake, Vampire Hunter",7.19,Books > Literature & Fiction > Genre Fiction,Laurell K. Hamilton,051513449X,272.0,Berkley ,English,4.2 x 1 x 6.8 inches,6.4 ounces,4.3,Guilty Pleasures ,7.08,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Paranormal,Laurell K. Hamilton,051513449X,272.0,BerkleyPenguin Publishing Group,English,6.81 x 4.19 x 1.00 Inches (US),,5.0,1
1208,2190,1977,Wedding Cake Murder A Hannah Swensen Mystery,7.19,"Books > Mystery, Thriller & Suspense > Mystery",Joanne Fluke,1617732184,304.0,Kensington; Reprint edition ,English,4.1 x 1 x 6.7 inches,5.6 ounces,4.0,Devil's Food Cake Murder,6.8,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","Fluke, Joanne",8234926,341.0,Kensington Pub Corp,English,7.00 x 4.25 x 1.00 Inches,,5.0,0
1336,2788,905,Takedown Twenty Stephanie Plum,7.19,Books > Literature & Fiction > United States,Janet Evanovich,345542894,352.0,Bantam; Reissue edition ,English,4.1 x 0.9 x 6.8 inches,6.4 ounces,4.3,Takedown Twenty,7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 1707 >  > in > Books > # > 3 >  > in > Books > Mystery & Suspense > # > 1 >  > in > Books > Mystery & Suspense > Women Sleuths",Janet Evanovich,5542898,352.0,Bantam Dell,English,7.25 x 4.25 x 1.00 Inches,,5.0,1
426,564,2201,The Lady of the Lake The Witcher,11.55,Books > Literature & Fiction > Action & Adventure,Andrzej Sapkowski David French,031627383X,560.0,Orbit ,English,5.5 x 1.5 x 8.2 inches,13.1 ounces,4.4,The Lady of the Lake,13.15,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Andrzej Sapkowski,031627383X,560.0,Orbit,English,8.25 x 5.50 x 1.50 Inches (US),,,1
274,313,2036,Golden Son,13.59,Books > Literature & Fiction > Action & Adventure,Pierce Brown,345539834,464.0,Del Rey; Reprint edition ,English,5.5 x 1 x 8.2 inches,12 ounces,4.7,Golden Son,13.54,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Brown, Pierce",5539838,444.0,Random House Inc,English,8.50 x 5.50 x 1.00 Inches,,,1
38,35,1118,To Kill a Mockingbird Paperback ,8.99,Books > Literature & Fiction > Classics,Harper Lee,60935464,336.0,Harper Perennial Modern Classics ,English,5.2 x 1 x 8.2 inches,9 ounces,4.7,To Kill a Mockingbird,7.56,Books > Literature & Fiction > Fiction > Literary > Best seller ranking: > # > 45 >  > in > Books > # > 7 >  > in > Books > Literature & Fiction > # > 1 >  > in > Books > Literature & Fiction > African-American,"LEE, HARPER",631078X,384.0,Grand Central Pub,English,6.50 x 4.00 x 1.00 Inches,,4.7,0
1178,2159,972,The Fall of Hyperion Mass Market Paperback ,7.19,Books > Science Fiction & Fantasy > Fantasy,Dan Simmons,553288202,528.0,Spectra ,English,4.2 x 1.1 x 6.8 inches,8.8 ounces,4.3,The Fall of Hyperion,7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"Simmons, Dan",3288207,528.0,Random House,English,7.00 x 4.00 x 1.00 Inches,,,1
539,766,2281,Separation of Power A Mitch Rapp Novel,8.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Vince Flynn,1439135738,544.0,Pocket Star; Reprint edition ,English,4.1 x 1.2 x 7.5 inches,11.2 ounces,4.7,Separation of Power,9.71,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense > Best seller ranking: > # > 7136 >  > in > Books > # > 55 >  > in > Books > Mystery & Suspense > # > 24 >  > in > Books > Mystery & Suspense > Thrillers",Vince Flynn,9135735,544.0,Pocket Star,English,190.50 x 104.78 x 1.20 Millimeters,,,1
923,1533,1086,The Perfect Stranger,9.28,Books > Literature & Fiction > Genre Fiction,Megan Miranda,150110800X,368.0,Simon & Schuster; Reprint edition ,English,5.5 x 0.9 x 8.4 inches,10.4 ounces,4.0,The Perfect Stranger,6.99,Books > Literature & Fiction > Fiction > Contemporary Women,Megan Miranda,1107999,352.0,Simon &amp; Schuster,English,228.60 x 6.00 x 25.40 Millimeters,,,1
441,617,956,One Flew Over the Cuckoo's Nest Mass Market Paperback ,8.9,Books > Literature & Fiction > Genre Fiction,Ken Kesey,451163966,272.0,Berkley ,English,4.2 x 0.9 x 7.5 inches,7.2 ounces,4.3,One Flew Over the Cuckoo's Nest,11.54,Books > Literature & Fiction > Fiction > Literary,Ken Kesey,1181229,312.0,Penguin ClassicsPenguin Publishing Group,English,,,,1
68,57,1815,It,12.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501175467,1184.0,Scribner; Media Tie-In edition ,English,5.5 x 2.4 x 8.4 inches,2.3 pounds,4.5,It ,16.28,Books > Literature & Fiction > Fiction > Horror,Stephen King,1142970,1168.0,Scribner,,8.38 x 139.70 x 2.00 Inches (US),,5.0,1
1023,1718,2205,"No Game No Life, Vol. 5 - light novel Paperback ",11.97,Books > Science Fiction & Fantasy > Fantasy,Yuu Kamiya,316385239,208.0,Yen On ,English,5.5 x 0.5 x 8.2 inches,7.8 ounces,4.8,No Game No Life,12.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Yuu Kamiya,316385263,240.0,Yen PressYen On,,,,,0
301,351,287,Aftermath,8.99,Books > Literature & Fiction > Genre Fiction,Chuck Wendig,1101885920,432.0,Del Rey; Reissue edition ,English,4.2 x 1 x 7.5 inches,8 ounces,2.9,AFTERMATH,8.99,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera > Best seller ranking: > # > 14539 >  > in > Books > # > 731 >  > in > Books > ARCHIVE > # > 72 >  > in > Books > ARCHIVE > Literature & Fiction,"WENDIG, CHUCK",1885928,432.0,Random House,English,7.50 x 4.25 x 1.00 Inches,,5.0,1
222,257,2038,"The Wheel of Time, Boxed Set II, Books 4-6",16.32,Books > Science Fiction & Fantasy > Fantasy,Robert Jordan,812540115,,Tor Books; 1 edition ,English,4.2 x 4.9 x 6.9 inches,3.1 pounds,4.7,WHEEL OF TIME 2 BOX SETBOX SET #22,14.27,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic > Best seller ranking: > # > 7059 >  > in > Books > # > 628 >  > in > Books > Literature & Fiction > # > 54 >  > in > Books > Literature & Fiction > Fantasy,Robert Jordan,2540112,0.0,Tom Doherty AssociatesTor Books,English,175.26 x 107.95 x 124.46 Millimeters,,5.0,0
76,63,1460,Look for Me D. D. Warren,16.56,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lisa Gardner,1524742058,,Dutton ,English,6.3 x 1.3 x 9.3 inches,1.5 pounds,4.3,Look for Me,21.92,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","Gardner, Lisa",525589236,530.0,Random House Inc,English,9.25 x 6.25 x 1.25 Inches,,,0
781,1242,1538,Ender's Game The Ender Quintet,6.09,Books > Science Fiction & Fantasy > Science Fiction,Orson Scott Card,812550706,352.0,Tor Science Fiction ,English,4.1 x 1 x 6.8 inches,5.6 ounces,4.5,ENDERS GAME,6.09,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Military > Best seller ranking: > # > 5118 >  > in > Books > # > 421 >  > in > Books > Literature & Fiction > # > 27 >  > in > Books > Literature & Fiction > Science Fiction,"CARD, ORSON SCOTT",2550707,352.0,Tor Books,English,7.00 x 4.25 x 1.00 Inches,,3.9655,1
273,313,1567,Golden Son,13.59,Books > Literature & Fiction > Action & Adventure,Pierce Brown,345539834,464.0,Del Rey; Reprint edition ,English,5.5 x 1 x 8.2 inches,12 ounces,4.7,Golden Son,15.89,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Action & Adventure,"Brown, Pierce",5539817,442.0,Random House Inc,English,9.50 x 6.50 x 1.50 Inches,,,1
1433,3132,1369,Magpie Murders,15.22,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Anthony Horowitz,62645226,,Harper; 1st Edition edition ,English,6 x 1.5 x 9 inches,1.4 pounds,4.1,Magpie Murders,15.22,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional",Anthony Horowitz,2645222,496.0,Harper Collins,English,9.25 x 6.25 x 1.75 Inches,,,1
1173,2131,1426,"Memories of Ice The Malazan Book of the Fallen, Book 3",8.98,Books > Literature & Fiction > Action & Adventure,Steven Erikson,765348802,925.0,Tor Fantasy ,English,4.1 x 1.5 x 6.8 inches,14.9 ounces,4.6,Memories of Ice,8.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Erikson, Steven",5348807,925.0,Tor Books,English,6.75 x 4.25 x 1.50 Inches,,,1
644,921,2248,The Drums of Autumn Mass Market Paperback ,9.93,Books > Literature & Fiction > Genre Fiction,Diana Gabaldon,044022425X,1070.0,Dell; Reissue edition ,English,4.2 x 1.7 x 6.9 inches,15.2 ounces,4.7,Written in My Own Heart's Blood (Outlander Volume 8) (Mass Market Paperback),8.48,Books > Literature & Fiction > Fiction > Historical > Best seller ranking: > # > 8391 >  > in > Books > # > 401 >  > in > Books > ARCHIVE > # > 35 >  > in > Books > ARCHIVE > Literature & Fiction,Diana Gabaldon,110188424X,1152.0,Bantam Dell,English,7.25 x 4.25 x 2.00 Inches,,,0
1030,1733,1875,The Charm School Paperback ,10.87,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Nelson DeMille,1538744287,800.0,Grand Central Publishing; Reissue edition ,English,5.2 x 2.2 x 8 inches,1.4 pounds,4.6,The Charm School,8.38,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Espionage",Nelson DeMille,6353205,640.0,Grand Central Publishing,English,6.67 x 4.12 x 1.25 Inches (US),,,0
323,390,775,Kindred,16.96,Books > Literature & Fiction > United States,Damian Duffy Octavia E. ButlerJohn Jennings,141970947X,,Abrams ComicArts ,English,7 x 0.9 x 9.9 inches,2.5 pounds,4.4,Kindred,12.28,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General > Best seller ranking: > # > 9345 >  > in > Books > # > 856 >  > in > Books > Literature & Fiction > # > 55 >  > in > Books > Literature & Fiction > Science Fiction,"Butler, Octavia E.",7083696,499.0,Random House Inc,English,8.00 x 5.50 x 1.00 Inches,,5.0,0
951,1594,1117,Collision Point,6.47,Books > Literature & Fiction > United States,Lora Leigh,1250110327,336.0,St. Martin's Paperbacks ,English,4.4 x 0.9 x 6.9 inches,5.6 ounces,4.0,Collision Point ,7.99,Books > Literature & Fiction > Fiction > Romance > Military,Lora Leigh,1250110327,350.0,St. Martin's Paperbacks,,,,,1
1134,2015,583,Jack & Jill Alex Cross,8.0,"Books > Mystery, Thriller & Suspense > Mystery",James Patterson,446604801,480.0,Vision; Reissue edition ,English,4.2 x 1.2 x 6.8 inches,8.8 ounces,4.5,Cat & Mouse (Alex Cross),7.19,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Police Procedural > Best seller ranking: > # > 9377 >  > in > Books > # > 127 >  > in > Books > General",James Patterson,6606187,480.0,Grand Central Pub Mass Market,English,7.00 x 4.00 x 1.00 Inches,,,0
679,1000,804,Breaking Point Lucy Kincaid Novels,7.73,"Books > Mystery, Thriller & Suspense > Mystery",Allison Brennan,1250164443,448.0,Minotaur Books ,English,4.5 x 1.2 x 7.6 inches,9.8 ounces,4.6,BREAKING POINT,9.99,Books > Women's History Month Books > Women's History Month Fiction,"BRENNAN, ALLISON",1250164443,448.0,St. Martin's PressMinotaur Books,,,,,1
1061,1829,2493,The Andromeda Strain Paperback ,10.84,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Michael Crichton,1101974494,304.0,Vintage; Reprint edition ,English,5.2 x 0.6 x 8 inches,7.8 ounces,4.1,The Andromeda Strain (Paperback),14.31,Books > Literature & Fiction > Fiction > Action & Adventure,"Crichton, Michael",99319519,304.0,,,,,,1
1291,2603,1691,The Garden of Small Beginnings Paperback ,10.6,Books > Literature & Fiction > Genre Fiction,Abbi Waxman,399583580,368.0,Berkley ,English,5.3 x 0.9 x 8 inches,8 ounces,4.6,The Garden of Small Beginnings,,Books > Literature & Fiction > Fiction > Contemporary Women,Abbi Waxman,9583587,368.0,BerkleyPenguin Publishing Group,,,,,1
235,271,330,The Woman in the Water,19.99,"Books > Mystery, Thriller & Suspense > Mystery",Charles Finch,1250139465,,Minotaur Books ,English,6.3 x 1.2 x 9.4 inches,1 pounds,4.7,The Woman in the Water,19.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Traditional",Charles Finch,1250139465,320.0,St. Martin's PressMinotaur Books,English,9.25 x 155.57 x 1.25 Inches (US),,,1
604,868,1065,"Wheel of Time, Boxed Set IV",16.99,Books > Literature & Fiction > Action & Adventure,Robert Jordan,765368617,,Tor Fantasy; 1 edition ,English,4.2 x 4.6 x 6.8 inches,3 pounds,4.6,The Wheel Of Time (The Eye Of The World/The Great Hunt/The Dragon Reborn),24.92,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,"Jordan, Robert",812538366,0.0,Tor Books,,6.98 x 4.46 x 4.74 Inches,,,0
723,1114,563,Needful Things,8.99,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Stephen King,1501143786,960.0,Pocket Books; Reissue edition ,English,4.1 x 1.6 x 7.5 inches,13.6 ounces,4.3,Needful Things ,9.74,Books > Literature & Fiction > Fiction > Horror,Stephen King,1143780,960.0,Pocket Books,English,190.50 x 104.78 x 40.64 Millimeters,,,1
1439,3156,2381,Heir to the Empire Star Wars,7.99,Books > Science Fiction & Fantasy > Science Fiction,Timothy Zahn,553296124,416.0,Del Rey ,English,4.2 x 1.1 x 6.9 inches,7.2 ounces,4.5,Star Wars,7.19,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Space Opera,"Zahn, Timothy",034545684X,480.0,Random House,English,7.00 x 4.25 x 1.25 Inches,,,0
1099,1864,1605,The One Man,6.98,Books > Literature & Fiction > World Literature,Andrew Gross,1250079527,496.0,St. Martin's Paperbacks ,English,4.2 x 1 x 7.5 inches,9.1 ounces,4.6,The One Man,6.98,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Historical",Andrew Gross,79526,496.0,St. Martin's PressSt. Martin's Paperbacks,English,7.48 x 105.41 x 26.54 Inches (US),,,1
753,1192,1913,The Life We Bury Paperback ,11.96,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Allen Eskens,1616149981,303.0,Seventh Street Books; First Paperback Edition edition ,English,5.5 x 0.9 x 8.3 inches,9.6 ounces,4.4,The Life We Bury,13.14,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 1937 >  > in > Books > # > 136 >  > in > Books > Literature & Fiction > # > 19 >  > in > Books > Literature & Fiction > Mystery & Suspense","Eskens, Allen",1616149981,303.0,Random House Inc,English,5.50 x 8.25 x 0.75 Inches,,5.0,1
596,866,516,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,14.0,Books > Comics & Graphic Novels > Manga,Fujino Omori,031644250X,232.0,Yen On ,English,5.5 x 0.6 x 8.2 inches,8.5 ounces,4.7,Is It Wrong to Try to Pick Up Girls in a Dungeon?,11.97,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,Fujino Omori,6318160,240.0,Yen PressYen On,English,,,,0
1236,2289,1973,"Three to Get Deadly Stephanie Plum, No. 3",8.97,Books > Literature & Fiction > Humor & Satire,Janet Evanovich,312966091,396.0,St. Martin's Press ,English,4.2 x 0.9 x 6.9 inches,5.6 ounces,4.6,"High Five (Stephanie Plum, No. 5)",6.3,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > Women Sleuths > Best seller ranking: > # > 15641 >  > in > Books > # > 163 >  > in > Books > Mystery & Suspense > # > 22 >  > in > Books > Mystery & Suspense > General",Janet Evanovich,2971347,352.0,St. Martin's PressSt. Martin's Paperbacks,English,172.72 x 108.46 x 25.15 Millimeters,,5.0,0
512,734,36,Personal,8.2,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",Lee Child,804178755,544.0,Dell; Reissue edition ,English,4.3 x 1.3 x 7.5 inches,10.4 ounces,3.9,PERSONAL,8.99,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Thrillers & Suspense > Suspense","CHILD, LEE",4178753,544.0,Random House,English,7.50 x 4.25 x 1.25 Inches,,,1
1094,1860,773,Before They Are Hanged The First Law,12.99,Books > Literature & Fiction > Genre Fiction,Joe Abercrombie,316387355,560.0,Orbit ,English,6 x 1.5 x 9.2 inches,1.4 pounds,4.6,Before They Are Hanged,13.87,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Epic,Joe Abercrombie,638735X,560.0,Orbit,English,9.25 x 6.00 x 1.50 Inches (US),,,1
493,710,2198,Metro 2033,15.28,Books > Science Fiction & Fantasy > Science Fiction,Dmitry Glukhovsky,1481845705,460.0,CreateSpace Independent Publishing Platform ,English,6 x 1.2 x 9 inches,1.7 pounds,4.5,Metro 2033,15.28,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"Glukhovsky, Dmitry",1481845705,460.0,Lightning Source Inc,English,8.75 x 5.75 x 1.25 Inches,,,1
1079,1840,2086,Hope to Die Alex Cross,8.74,"Books > Mystery, Thriller & Suspense > Thrillers & Suspense",James Patterson,1455515833,416.0,Vision ,English,4.2 x 1.2 x 7.5 inches,6.4 ounces,4.6,"Mary, Mary (Alex Cross Novels)",7.1,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General > Best seller ranking: > # > 7967 >  > in > Books > # > 717 >  > in > Books > Literature & Fiction > # > 103 >  > in > Books > Literature & Fiction > Mystery & Suspense",James Patterson,6619039,435.0,Grand Central Pub Mass Market,English,7.50 x 4.25 x 1.25 Inches,,,0
821,1356,2343,William Shakespeare's Star Wars Hardcover ,8.67,Books > Literature & Fiction > Genre Fiction,Ian Doescher,1594746370,176.0,Quirk Books ,English,5.6 x 0.7 x 8.3 inches,10.6 ounces,4.7,WILLIAM SHAKESPEARE'S THE FORCE DOTH AWAKEN,9.42,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > General,"DOESCHER, IAN",159474985X,168.0,Random House Inc,English,8.25 x 5.50 x 0.50 Inches,,,0
201,228,910,American Gods,10.5,Books > Literature & Fiction > Action & Adventure,Neil Gaiman,62572237,576.0,"William Morrow Paperbacks; Anniversary, Media Tie In edition ",English,5.3 x 0.9 x 8 inches,15.2 ounces,4.3,AMERICAN GODS TV TIE IN,10.5,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Contemporary,"GAIMAN, NEIL",2572233,576.0,Harpercollins,English,5.50 x 8.00 x 1.00 Inches,,,1
918,1515,2205,"No Game No Life, Vol. 6 - light novel Paperback ",12.76,Books > Science Fiction & Fantasy > Fantasy,Yuu Kamiya,316385263,240.0,Yen On ,English,5.5 x 0.6 x 8.4 inches,7.8 ounces,4.7,No Game No Life,12.71,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Yuu Kamiya,316385263,240.0,Yen PressYen On,,,,,1
597,866,603,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,14.0,Books > Comics & Graphic Novels > Manga,Fujino Omori,031644250X,232.0,Yen On ,English,5.5 x 0.6 x 8.2 inches,8.5 ounces,4.7,Is It Wrong to Try to Pick Up Girls in a Dungeon? 6,11.97,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Fujino Omori,6394168,272.0,Yen PressYen On,English,,,,0
8,16,1620,Altered Carbon Takeshi Kovacs,12.98,Books > Science Fiction & Fantasy > Science Fiction,Richard K. Morgan,345457684,375.0,Del Rey; 1st edition ,English,6.1 x 0.9 x 9.2 inches,12.8 ounces,4.3,Altered Carbon,12.98,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Science Fiction > Hard Science Fiction,"Morgan, Richard K.",5457682,375.0,Random House Inc,English,9.50 x 6.00 x 0.75 Inches,,,1
499,719,10,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 11 light novel",12.6,Books > Science Fiction & Fantasy > Fantasy,Fujino Omori,031644247X,320.0,Yen On ,English,5 x 7 inches,1.1 pounds,4.5,Is It Wrong to Try to Pick Up Girls in a Dungeon? on the Side 4,11.44,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > Humorous,Fujino Omori,316318221,312.0,Yen PressYen On,English,,,,0
1357,2884,2261,Blood Magick The Cousins O'Dwyer Trilogy,5.98,Books > Literature & Fiction > United States,Nora Roberts,515152919,336.0,Berkley; Reprint edition ,English,4.2 x 0.9 x 6.8 inches,1.8 ounces,4.6,Blood Magick,5.98,Books > Literature & Fiction > Fiction > Romance > Contemporary,Nora Roberts,5152914,336.0,BerkleyPenguin Publishing Group,English,,,,1
500,719,42,"Is It Wrong to Try to Pick Up Girls in a Dungeon?, Vol. 11 light novel",12.6,Books > Science Fiction & Fantasy > Fantasy,Fujino Omori,031644247X,320.0,Yen On ,English,5 x 7 inches,1.1 pounds,4.5,Is It Wrong to Try to Pick Up Girls in a Dungeon?,13.49,Books > Literature & Fiction > Fiction > Science Fiction & Fantasy > Fantasy > General,Fujino Omori,031631479X,288.0,Yen PressYen On,,,,,0
1445,3175,225,The Girl in the Spider's Web Millennium Series,7.48,"Books > Mystery, Thriller & Suspense > Mystery",David Lagercrantz,525434763,544.0,Vintage Crime/Black Lizard; Reprint edition ,English,4.2 x 1.1 x 7.6 inches,9.8 ounces,3.9,"GIRL IN THE SPIDER'S WEB, THE",7.48,"Books > Literature & Fiction > Fiction > Mysteries, Thrillers & Suspense > Mystery & Detective > General","LAGERCRANTZ, DAVID",543476X,544.0,Random House,English,8.25 x 4.50 x 1.25 Inches,,,1
1302,2637,1872,One Day at a Time,5.99,Books > Literature & Fiction > Genre Fiction,Danielle Steel,440243335,416.0,Dell; Reprint edition ,English,4.2 x 1.1 x 6.9 inches,2.4 ounces,4.4,One Day at a Time,5.99,Books > Literature & Fiction > Fiction > Romance > General > Best seller ranking: > # > 25595 >  > in > Books > # > 831 >  > in > Books > Romance > # > 152 >  > in > Books > Romance > General,"Steel, Danielle",243336,416.0,Random House,English,6.75 x 4.25 x 1.50 Inches,,,1
