_id,ltable_id,rtable_id,ltable_Name,ltable_Author,ltable_ISBN10,rtable_Name,rtable_Author,rtable_ISBN10,gold_labels
11757,295,1735,"What She Knew: A Novel Paperback – December 1, 2015",Gilly Macmillan,62413864,What She Knew,"Macmillan, Gilly",2413862,1
11798,1356,1748,"William Shakespeare's Star Wars Hardcover – July 2, 2013",Ian Doescher,1594746370,WILLIAM SHAKESPEARE'S ATTACK OF THE CLONES,"DOESCHER, IAN",4748075,0
11888,18,1763,"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback – October 29, 2013",George R. R. Martin,345535529,A FEAST FOR CROWS,"MARTIN, GEORGE",055358202X,0
11907,3156,1765,"Heir to the Empire (Star Wars: The Thrawn Trilogy, Vol. 1) Mass Market Paperback – May 1, 1992",Timothy Zahn,553296124,THRAWN (STAR WARS),"ZAHN, TIMOTHY",1101967021,0
12036,2201,1774,"A Deeper Love Inside: The Porsche Santiaga Story Paperback – February 18, 2014",Sister Souljah,1439165327,"DEEPER LOVE INSIDE, A-AA",Sister Souljah,916532X,1
12039,979,1775,"Babylon's Ashes (The Expanse) Paperback – October 24, 2017",James S. A. Corey,316217646,Babylon's Ashes,James S. A. Corey,316217646,1
12091,55,1784,"Iron Gold: Book 4 of the Red Rising Saga (Red Rising Series) Hardcover – January 16, 2018",Pierce Brown,042528591X,Red Rising,"Brown, Pierce",4137743,0
12092,207,1784,"Red Rising Paperback – July 15, 2014",Pierce Brown,034553980X,Red Rising,"Brown, Pierce",4137743,1
12133,1840,1789,"Hope to Die (Alex Cross) Mass Market Paperback – September 29, 2015",James Patterson,1455515833,"Kiss the Girls (Alex Cross, No. 2)",James Patterson,6601241,0
12330,1633,1809,"Dark Tide Rising: A William Monk Novel Hardcover – September 18, 2018",Anne Perry,399179917,Slaves of Obsession: A William Monk Novel,"Perry, Anne",5514127,0
12468,1766,1830,"The World of All Souls: The Complete Guide to A Discovery of Witches, Shadow of Night, and The Book of Life (All Souls Trilogy) Hardcover – May 8, 2018",Deborah Harkness Colleen Madden,735220743,Shadow of Night : A Novel,Deborah Harkness,23489,0
12626,1651,1851,"61 Hours (Jack Reacher) Mass Market Paperback – Unabridged, September 28, 2010",Lee Child,440243696,61 HOURS,"CHILD, LEE",243692,1
12687,1582,1858,The Lands of Ice and Fire (A Game of Thrones): Maps from King's Landing to Across the Narrow Sea,George R. R. Martin,345538544,A Clash of Kings,"Martin, George R. R.",3108030,0
12706,101,1861,"Duel to the Death (Ali Reynolds) Hardcover – March 20, 2018",J.A. Jance,1501150987,MAN OVERBOARD: AN ALI REYNOLDS NOVEL,J.A. Jance,1501110829,0
12708,1225,1863,"The Grave's a Fine and Private Place: A Flavia de Luce Novel Hardcover – January 30, 2018",Alan Bradley,345539990,A Red Herring Without Mustard: A Flavia de Luce Novel,"Bradley, Alan",5343463,0
12796,1181,1878,"The Magicians Trilogy Boxed Set: The Magicians; The Magician King; The Magician's Land Paperback – June 9, 2015",Lev Grossman,147517389,The Magician King : A Novel,Lev Grossman,2298015,0
12814,325,1885,"Mississippi Blood: The Natchez Burning Trilogy Mass Market Paperback – December 26, 2017",Greg Iles,62311182,Natchez Burning,Greg Iles,2311093,0
12831,300,1890,"If I'm Found (If I Run Series) Paperback – March 21, 2017",Terri Blackstock,310332486,If I'm Found,"Blackstock, Terri",332483,1
13029,451,1920,"The Alloy of Law: A Mistborn Novel Mass Market Paperback – October 30, 2012",Brandon Sanderson,765368544,The Alloy of Law,"Sanderson, Brandon",5368540,1
13091,93,1925,"The Dark Tower VI: Song of Susannah (The Dark Tower, Book 6) Mass Market Paperback – May 23, 2006",Stephen King,1416521496,The Dark Tower VII : The Dark Tower,Stephen King,6524529,0
13267,1605,1935,"Horus Rising (The Horus Heresy) Mass Market Paperback – August 26, 2014",Dan Abnett,1849707448,Horus Rising,Dan Abnett,9707447,1
13268,1081,1936,"Death March to the Parallel World Rhapsody, Vol. 4 (light novel) (Death March to the Parallel World Rhapsody (light novel)) Paperback – January 30, 2018",Hiro Ainana,316556092,Death March to the Parallel World Rhapsody,Hiro Ainana,650797X,0
13389,127,1950,"Running Blind (Jack Reacher) Mass Market Paperback – August 28, 2007",Lee Child,515143502,BAD LUCK AND TROUBLE: A JACK REACHER NOVEL,"CHILD, LEE",246012,0
13390,153,1950,"Echo Burning (Jack Reacher) Paperback – November 27, 2007",Lee Child,515143820,BAD LUCK AND TROUBLE: A JACK REACHER NOVEL,"CHILD, LEE",246012,0
13393,391,1950,"Persuader (Jack Reacher) Mass Market Paperback – May 19, 2009",Lee Child,440245982,BAD LUCK AND TROUBLE: A JACK REACHER NOVEL,"CHILD, LEE",246012,0
13416,1190,1954,"And Then There Were None Mass Market Paperback – March 29, 2011",Agatha Christie,62073486,And Then There Were None,"Christie, Agatha",2073484,1
13541,758,1973,"Tricky Twenty-Two: A Stephanie Plum Novel Mass Market Paperback – November 8, 2016",Janet Evanovich,345542975,"High Five (Stephanie Plum, No. 5)",Janet Evanovich,2971347,0
13551,2430,1973,"Explosive Eighteen (Stephanie Plum) Mass Market Paperback – May 15, 2012",Janet Evanovich,345527739,"High Five (Stephanie Plum, No. 5)",Janet Evanovich,2971347,0
13669,1190,2000,"And Then There Were None Mass Market Paperback – March 29, 2011",Agatha Christie,62073486,And Then There Were None (Agatha Christie Mysteries Collection),Agatha Christie,2073479,1
13737,2322,2010,"Iron Kissed (Mercy Thompson, Book 3) Mass Market Paperback – January 2, 2008",Patricia Briggs,441015662,Iron Kissed,Patricia Briggs,1015662,1
13861,1318,2017,"The Silent Corner: A Novel of Suspense Hardcover – June 20, 2017",Dean Koontz,345545990,DARK RIVERS OF THE HEART: A NOVEL,"KOONTZ, DEAN",553303X,0
13904,2455,2019,"Misadventures of a Virgin (Misadventures Series) Hardcover – December 5, 2017",Meredith Wild,1947222422,Misadventures of a City Girl,"Bliss, Chelle Wild, Meredith",1943893403,0
13957,1825,2025,"Theft of Swords, Vol. 1(Riyria Revelations) Paperback – November 23, 2011",Michael J. Sullivan,316187747,Age of Swords,"Sullivan, Michael J.",1101965363,0
13961,2167,2026,"Every Last Lie: A Gripping Novel of Psychological Suspense Hardcover – June 27, 2017",Mary Kubica,778319989,Every Last Lie,"KUBICA, MARY",778319989,1
13968,1245,2029,"The Mark (Fox and O'Hare) Hardcover – August 14, 2018",Janet Evanovich,525536647,"SCAM: A FOX AND O'HARE NOVEL, THE","EVANOVICH, JANET",5543179,0
14036,871,2038,"The Dragon Reborn (The Wheel of Time, Book 3) Mass Market Paperback – October 15, 1992",Robert Jordan,812513711,WHEEL OF TIME 2 BOX SETBOX SET #22,Robert Jordan,2540112,0
14037,993,2038,"Towers of Midnight (Wheel of Time) Mass Market Paperback – October 4, 2011",Robert Jordan Brandon Sanderson,765364875,WHEEL OF TIME 2 BOX SETBOX SET #22,Robert Jordan,2540112,0
14040,18,2039,"A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons Mass Market Paperback – October 29, 2013",George R. R. Martin,345535529,A Game of Thrones,"Martin, George R. R.",307913090,0
14041,284,2039,"A Game of Thrones: The Illustrated Edition: A Song of Ice and Fire: Book One Hardcover – Illustrated, October 18, 2016",George R. R. Martin,553808044,A Game of Thrones,"Martin, George R. R.",307913090,1
14062,1156,2043,"The Murder of Roger Ackroyd: A Hercule Poirot Mystery (Hercule Poirot Mysteries) Paperback – Print, February 1, 2011",Agatha Christie,62073567,The Mystery of the Blue Train,"Christie, Agatha",2073971,0
14285,746,2059,"Words of Radiance: Book Two of the Stormlight Archive Mass Market Paperback – March 3, 2015",Brandon Sanderson,765365286,Words of Radiance,Brandon Sanderson,1250166535,1
14350,1268,2069,"One Second After (A John Matherson Novel) Mass Market Paperback – April 26, 2011",William R. Forstchen,765356864,One Year After : A John Matherson Novel,William R. Forstchen,5376719,0
14351,1813,2069,"One Year After: A John Matherson Novel Mass Market Paperback – June 28, 2016",William R. Forstchen,765376717,One Year After : A John Matherson Novel,William R. Forstchen,5376719,0
14558,506,2092,"The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure Hardcover – Illustrated, November 5, 2013",William Goldman,544173767,The Princess Bride Deluxe Edition HC : S. Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,1328948854,1
14569,1418,2095,"Voyager: A Novel (Outlander) Mass Market Paperback – October 1, 1994",Diana Gabaldon,440217563,Drums of Autumn (Outlander Volume 4) (Mass Market Paperback),Diana Gabaldon,044022425X,0
14571,1593,2095,"Seven Stones to Stand or Fall: A Collection of Outlander Fiction Hardcover – June 27, 2017",Diana Gabaldon,039959342X,Drums of Autumn (Outlander Volume 4) (Mass Market Paperback),Diana Gabaldon,044022425X,0
14576,2850,2095,"Diana Gabaldon Outlander Series 8 Book Set (1- 8) Mass Market Paperback – Box set, 1995",Diana Gabaldon,,Drums of Autumn (Outlander Volume 4) (Mass Market Paperback),Diana Gabaldon,044022425X,0
14676,2558,2102,"Misadventures of a City Girl (Misadventures Series) Hardcover – September 12, 2017",Meredith Wild Chelle Bliss,1943893403,Misadventures of a Good Wife,"Hardt, Helen Wild, Meredith",1943893462,0
14764,833,2109,"A Knight of the Seven Kingdoms (A Song of Ice and Fire) Hardcover – October 6, 2015",George R. R. Martin,345533488,"WORLD OF ICE AND FIRE, THE","MARTIN, GEORGE R.R.",3805446,0
14767,1448,2109,"A Storm of Swords (A Song of Ice and Fire, Book 3) Mass Market Paperback – March 4, 2003",George R. R. Martin,055357342X,"WORLD OF ICE AND FIRE, THE","MARTIN, GEORGE R.R.",3805446,0
14892,2708,2118,"Thrill Me (A Fool's Gold Romance) Hardcover – Large Print, November 25, 2015",Susan Mallery,1410481271,THRILL ME,"MALLERY, SUSAN",3788981,1
14936,251,2123,"Sword of Destiny (The Witcher) Paperback – December 1, 2015",Andrzej Sapkowski David French,316389706,Sword of Destiny,Andrzej Sapkowski,6389708,1
14973,2643,2128,"Beneath This Man (A This Man Novel) Paperback – November 26, 2013",Jodi Ellen Malpas,1455578347,Beneath This Man,Jodi Ellen Malpas,5578348,1
14992,286,2133,"Ashes of Victory (Honor Harrington) Leather Bound – September 4, 2018",David Weber,1481483455,Shadow of Victory,David Weber,1481482882,0
15004,1582,2135,The Lands of Ice and Fire (A Game of Thrones): Maps from King's Landing to Across the Narrow Sea,George R. R. Martin,345538544,A Game of Thrones 1,"Martin, George R. R.",044042321X,0
15011,248,2136,"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series) Paperback – June 18, 2015",E L James,1101946342,Fifty Shades Darker,"JAMES, E L",5803498,0
15081,630,2143,"The Great Hunt (The Wheel of Time, Book 2) Mass Market Paperback – October 15, 1991",Robert Jordan,812517725,The Great Hunt,Robert Jordan,5334349,1
15121,118,2150,"The Skaar Invasion (The Fall of Shannara) Hardcover – June 19, 2018",Terry Brooks,553391518,ELFSTONES OF SHANNARA (THE SHANNARA CHRONICLES BOO,"BROOKS, TERRY",1886057,0
15146,557,2154,"The Dark Tower 8-Book Boxed Set Paperback – December 6, 2016",Stephen King,1501163566,The Dark Tower I : The Gunslinger,Stephen King,1168365,0
15205,749,2160,"Star Wars: Tarkin Paperback – June 30, 2015",James Luceno,553392905,TARKIN: STAR WARS,"LUCENO, JAMES",3392901,1
15308,1174,2181,"Final Girls: A Novel Paperback – January 23, 2018",Riley Sager,1101985380,FINAL GIRLS: A NOVEL,Riley Sager,1101985380,1
15335,759,2187,"Kill Shot: An American Assassin Thriller (A Mitch Rapp Novel) Mass Market Paperback – August 21, 2012",Vince Flynn,1416595228,Order to Kill : A Novel,Kyle Mills Vince Flynn,1476783497,0
15339,847,2187,"Order to Kill: A Novel (A Mitch Rapp Novel) Mass Market Paperback – July 18, 2017",Vince Flynn Kyle Mills,1476783497,Order to Kill : A Novel,Kyle Mills Vince Flynn,1476783497,1
15565,2376,2206,"My Sweet Audrina Paperback – May 24, 2011",V.C. Andrews,1442420189,My Sweet Audrina,V.C. Andrews,1138849,1
15638,455,2216,"The Cold Dish: A Longmire Mystery Paperback – May 30, 2012",Craig Johnson,143123173,Junkyard Dogs : A Longmire Mystery,Craig Johnson,311953X,0
15643,1380,2216,"Junkyard Dogs: A Longmire Mystery Paperback – May 31, 2011",Craig Johnson,143119532,Junkyard Dogs : A Longmire Mystery,Craig Johnson,311953X,1
15649,1758,2216,"As the Crow Flies: A Longmire Mystery Paperback – May 28, 2013",Craig Johnson,143123297,Junkyard Dogs : A Longmire Mystery,Craig Johnson,311953X,0
15650,1836,2216,"Another Man's Moccasins: A Longmire Mystery Paperback – May 26, 2009",Craig Johnson,143115529,Junkyard Dogs : A Longmire Mystery,Craig Johnson,311953X,0
15651,1910,2216,"Wait for Signs: Twelve Longmire Stories (A Longmire Mystery) Paperback – October 27, 2015",Craig Johnson,143127829,Junkyard Dogs : A Longmire Mystery,Craig Johnson,311953X,0
15827,278,2248,"Outlander Mass Market Paperback – June 2, 1992",Diana Gabaldon,440212561,Written in My Own Heart's Blood (Outlander Volume 8) (Mass Market Paperback),Diana Gabaldon,110188424X,0
15828,509,2248,"The Outlandish Companion Volume Two: The Companion to The Fiery Cross, A Breath of Snow and Ashes, An Echo in the Bone, and Written in My Own Heart's Blood (Outlander) Hardcover – October 27, 2015",Diana Gabaldon,385344449,Written in My Own Heart's Blood (Outlander Volume 8) (Mass Market Paperback),Diana Gabaldon,110188424X,0
15901,1396,2253,"7: The Dark Tower VII (The Dark Tower, Book 7) Mass Market Paperback – August 22, 2006",Stephen King,1416524525,The Dark Tower Boxed Set,Stephen King,1163566,0
15907,1715,2253,"The Dark Tower V: The Wolves of the Calla (The Dark Tower, Book 5) Mass Market Paperback – January 24, 2006",Stephen King,141651693X,The Dark Tower Boxed Set,Stephen King,1163566,0
16005,601,2265,"The Book of Life: A Novel (All Souls Trilogy) Paperback – May 26, 2015",Deborah Harkness,143127527,The Book of Life : A Novel,Deborah Harkness,25596,1
16007,1766,2265,"The World of All Souls: The Complete Guide to A Discovery of Witches, Shadow of Night, and The Book of Life (All Souls Trilogy) Hardcover – May 8, 2018",Deborah Harkness Colleen Madden,735220743,The Book of Life : A Novel,Deborah Harkness,25596,0
16085,1763,2279,"Manhunt: A Michael Bennett Story (BookShots) Paperback – November 7, 2017",James Patterson James O. Born,316473499,Manhunt: A Michael Bennett Story,James Patterson,316473499,1
16094,2239,2279,"Chase: A BookShot: A Michael Bennett Story (BookShots) Paperback – August 2, 2016",James Patterson,316317179,Manhunt: A Michael Bennett Story,James Patterson,316473499,0
16184,1905,2293,"The Well of Ascension (Mistborn, Book 2) Mass Market Paperback – June 3, 2008",Brandon Sanderson,765356139,Oathbringer : Book Three of the Stormlight Archive,Brandon Sanderson,076532637X,0
16247,1763,2300,"Manhunt: A Michael Bennett Story (BookShots) Paperback – November 7, 2017",James Patterson James O. Born,316473499,"I, Michael Bennett",James Patterson Michael Ledwidge,657181X,0
16256,2239,2300,"Chase: A BookShot: A Michael Bennett Story (BookShots) Paperback – August 2, 2016",James Patterson,316317179,"I, Michael Bennett",James Patterson Michael Ledwidge,657181X,0
16309,1602,2309,"Outlander 4-Copy Boxed Set: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn Mass Market Paperback – April 28, 2015",Diana Gabaldon,1101887486,"The Outlandish Companion: Companion to Outlander, Dragonfly in Amber, Voyager, and Drums of Autumn (Outlander) (Hardcover)",Diana Gabaldon,1887270,0
16357,1198,2313,"The Catcher in the Rye Mass Market Paperback – May 1, 1991",J.D. Salinger,7543321726,Catcher in the Rye,J.D. Salinger,676948X,1
16409,2090,2325,"The Family Business 3: A Family Business Novel Mass Market Paperback – September 26, 2017",Carl Weber,1622865707,The Family Business 4,"Weber, Carl",1622867661,0
16495,698,2332,"The Walt Longmire Mystery Series Boxed Set Volumes 1-4 (Walt Longmire Mysteries) Paperback – November 27, 2012",Craig Johnson,147508770,The Cold Dish : A Longmire Mystery,"Johnson, Craig",3123174,0
16500,1385,2332,"The Highwayman: A Longmire Story (A Longmire Mystery) Paperback – May 16, 2017",Craig Johnson,735220905,The Cold Dish : A Longmire Mystery,"Johnson, Craig",3123174,0
16769,3179,2370,"How the Light Gets In: A Chief Inspector Gamache Novel Paperback – July 29, 2014",Louise Penny,1250047277,The Cruelest Month: A Chief Inspector Gamache Novel,Louise Penny,2573504,0
16812,939,2379,"Bad Luck and Trouble (Jack Reacher) Mass Market Paperback – May 19, 2009",Lee Child,440246016,Bad Luck and Trouble,"Child, Lee",739365681,1
16880,663,2383,"A Memory of Light (Wheel of Time) Mass Market Paperback – December 31, 2013",Robert Jordan Brandon Sanderson,765364883,A Memory of Light,"Sanderson, Brandon Jordan, Robert",5364881,1
16910,919,2389,"Written in My Own Heart's Blood: A Novel (Outlander) Mass Market Paperback – May 31, 2016",Diana Gabaldon,110188424X,Written in My Own Heart's Blood,"Gabaldon, Diana",3386882,1
16989,192,2406,"Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey) Paperback – November 28, 2017",E L James,385543913,Fifty Shades Darker,"James, E. L.",5431884,0
16992,560,2406,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) Paperback – April 17, 2012",E L James,9.78E+12,Fifty Shades Darker,"James, E. L.",5431884,0
17148,1036,2435,"One Shot (Jack Reacher) Mass Market Paperback – November 6, 2012",Lee Child,345538196,ONE SHOT MTI,"CHILD, LEE",5538195,0
17389,854,2459,"Dragonfly in Amber: A Novel (Outlander) Mass Market Paperback – November 2, 1993",Diana Gabaldon,440215625,Voyager (Outlander Volume 3) (Paperback),Diana Gabaldon,5335997,0
17402,2850,2459,"Diana Gabaldon Outlander Series 8 Book Set (1- 8) Mass Market Paperback – Box set, 1995",Diana Gabaldon,,Voyager (Outlander Volume 3) (Paperback),Diana Gabaldon,5335997,0
17473,833,2471,"A Knight of the Seven Kingdoms (A Song of Ice and Fire) Hardcover – October 6, 2015",George R. R. Martin,345533488,"A Game of Thrones (A Song of Ice and Fire, Book 1) (Paperback)","Martin, George R. R.",7548230,0
17590,1713,2492,"Silence Fallen (A Mercy Thompson Novel) Mass Market Paperback – January 30, 2018",Patricia Briggs,425281280,Shifting Shadows : Stories from the World of Mercy Thompson,Patricia Briggs,5265019,0
17599,2924,2492,"Bone Crossed (Mercy Thompson, Book 4) Mass Market Paperback – January 26, 2010",Patricia Briggs,044101836X,Shifting Shadows : Stories from the World of Mercy Thompson,Patricia Briggs,5265019,0
17645,1307,2561,Romeo and Juliet (No Fear Shakespeare) Study Guide ed. Edition,William Shakespeare,1586638459,Romeo & Juliet,"Shakespeare, William",4234482,0
17731,462,2952,"The Graveyard Book Paperback – September 28, 2010",Neil Gaiman,60530944,The Graveyard Book 2,"Gaiman, Neil",2194841,0
17758,348,2988,"Neil Gaiman/Chris Riddell 3-Book Box Set: Coraline; The Graveyard Book; Fortunately, the Milk Paperback – September 8, 2015",Neil Gaiman,62379828,The Graveyard Book 1,"Gaiman, Neil",2194820,0
17760,462,2988,"The Graveyard Book Paperback – September 28, 2010",Neil Gaiman,60530944,The Graveyard Book 1,"Gaiman, Neil",2194820,0
